path	source_url	commit	retrieved	license
tier1-real-world/chengtripp/message_board.mu	https://github.com/chengtripp/lxmf_messageboard/blob/36102e53f3472161cf7ea287c6588041ae1102de/pages/message_board.mu	36102e53f3472161cf7ea287c6588041ae1102de	2026-09-07	MIT
tier1-real-world/chicagonomadnet/index.mu	https://github.com/DanBeard/ChicagoNomadNet/blob/e82de3b15186c5d2d96351b6eadaf63beeee5295/pages/index.mu	e82de3b15186c5d2d96351b6eadaf63beeee5295	2026-09-07	MIT
tier1-real-world/chicagonomadnet/test.mu	https://github.com/DanBeard/ChicagoNomadNet/blob/e82de3b15186c5d2d96351b6eadaf63beeee5295/pages/test.mu	e82de3b15186c5d2d96351b6eadaf63beeee5295	2026-09-07	MIT
tier1-real-world/chicagonomadnet/zr.mu	https://github.com/DanBeard/ChicagoNomadNet/blob/e82de3b15186c5d2d96351b6eadaf63beeee5295/pages/zr.mu	e82de3b15186c5d2d96351b6eadaf63beeee5295	2026-09-07	MIT
tier1-real-world/ecowitt/weatherstation__history.mu	https://github.com/iz0kew/nomadnet-ecowitt-plugin/blob/1115566fdcd1466385b3cad46435bf2189b8a833/weatherstation/history.mu	1115566fdcd1466385b3cad46435bf2189b8a833	2026-09-07	MIT
tier1-real-world/ecowitt/weatherstation__index.mu	https://github.com/iz0kew/nomadnet-ecowitt-plugin/blob/1115566fdcd1466385b3cad46435bf2189b8a833/weatherstation/index.mu	1115566fdcd1466385b3cad46435bf2189b8a833	2026-09-07	MIT
tier1-real-world/fotografm/ascii-webcam__pages__index.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/ascii-webcam/pages/index.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/ascii-webcam__pages__webcam-colour.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/ascii-webcam/pages/webcam-colour.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/ascii-webcam__pages__webcam.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/ascii-webcam/pages/webcam.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/jpeg-webcam__pages__index.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/jpeg-webcam/pages/index.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/jpeg-webcam__pages__status.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/jpeg-webcam/pages/status.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/jpeg-webcam__pages__sysinfo.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/jpeg-webcam/pages/sysinfo.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__index.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/index.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__names.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/names.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__noise-monitor-braille.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/noise-monitor-braille.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__retconfig.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/retconfig.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__rf-noise.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/rf-noise.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__rf-rssi.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/rf-rssi.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__rnstatus.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/rnstatus.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__rssi-monitor.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/rssi-monitor.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__sysinfo.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/sysinfo.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/lora-rnode__pages__sysinfo2.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/lora-rnode/pages/sysinfo2.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__announce-rate.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/announce-rate.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__announces.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/announces.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__iface-traffic.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/iface-traffic.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__index.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/index.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__mtr-graph.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/mtr-graph.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__neofetch.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/neofetch.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__netio.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/netio.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__ping-graph.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/ping-graph.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__pingtest.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/pingtest.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
tier1-real-world/fotografm/pingplotter__pages__rnpath.mu	https://github.com/fotografm/nomadnet-pages/blob/8be96f562b5df8af7ee88f70da68a8d19d15b9a0/pingplotter/pages/rnpath.mu	8be96f562b5df8af7ee88f70da68a8d19d15b9a0	2026-09-07	MIT
